working,http_status,curl_exit_code,link_type,url,clean_url,final_url,occurrences,first_base_product,first_suggestion_rank,first_suggestion,checked_at,error
yes,200,0,base_product_url,https://homefans.com/product/club-atletico-penarol-matchday-experience/,https://homefans.com/product/club-atletico-penarol-matchday-experience/,https://homefans.com/product/club-atletico-penarol-matchday-experience/,2,Peñarol Matchday Experience –…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/club-nacional-de-football-official-matchday-experience/,https://homefans.com/product/club-nacional-de-football-official-matchday-experience/,https://homefans.com/product/club-nacional-de-football-official-matchday-experience/,1,Club Nacional de Football – Of…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/colo-colo-matchday-experience/,https://homefans.com/product/colo-colo-matchday-experience/,https://homefans.com/product/colo-colo-matchday-experience/,1,Colo Colo Matchday Experience,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/cologne-football-carnival-walk-a-cultural-tour-for-real-fans/,https://homefans.com/product/cologne-football-carnival-walk-a-cultural-tour-for-real-fans/,https://homefans.com/product/cologne-football-carnival-walk-a-cultural-tour-for-real-fans/,1,Cologne Football & Carniva…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/colombian-football-experience-passion-culture-matchday-energy-with-atletico-nacional/,https://homefans.com/product/colombian-football-experience-passion-culture-matchday-energy-with-atletico-nacional/,https://homefans.com/product/colombian-football-experience-passion-culture-matchday-energy-with-atletico-nacional/,1,Colombian Football Experience…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/corinthians-match-day-experience-at-neo-quimica-arena/,https://homefans.com/product/corinthians-match-day-experience-at-neo-quimica-arena/,https://homefans.com/product/corinthians-match-day-experience-at-neo-quimica-arena/,1,Corinthians Matchday Experienc…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/cracovia-matchday/,https://homefans.com/product/cracovia-matchday/,https://homefans.com/product/cracovia-matchday/,1,KS Cracovia Matchday Experienc…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/deportivo-cali-matchday-experience/,https://homefans.com/product/deportivo-cali-matchday-experience/,https://homefans.com/product/deportivo-cali-matchday-experience/,1,Deportivo Cali Matchday Experi…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/derby-capitale-as-roma-v-ss-lazio/,https://homefans.com/product/derby-capitale-as-roma-v-ss-lazio/,https://homefans.com/product/derby-capitale-as-roma-v-ss-lazio/,1,Derby Della Capitale: AS Roma…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/derby-della-madonnina-ac-milan-v-internazionale/,https://homefans.com/product/derby-della-madonnina-ac-milan-v-internazionale/,https://homefans.com/product/derby-della-madonnina-ac-milan-v-internazionale/,1,Derby Della Madonnina: AC Mila…,,,2026-04-20 America/Los_Angeles,
